Time, X1, Y1, X2, Y2
2580.000000, 65.326788836919263, -401.842502402929600, 401556308.633377370000000, -1615098294.885019100000000
2640.000000, 68.801800586660235, -420.670752001333770, 406208031.264893950000000, -1613966261.560158000000000
2700.000000, 72.384220381752613, -439.925760310301370, 410856380.740138230000000, -1612820857.644254200000000
2760.000000, 76.075271323228804, -459.607200915412700, 415501318.725738110000000, -1611662093.363653400000000
2820.000000, 79.876175478728484, -479.714743919989930, 420142806.920765580000000, -1610489979.053804400000000
2880.000000, 83.788153872730149, -500.248055948622780, 424780807.057042840000000, -1609304525.159149200000000
2940.000000, 87.812426476796247, -521.206800150720710, 429415280.899448100000000, -1608105742.233011200000000
3000.000000, 91.950212199831753, -542.590636204091990, 434046190.246220830000000, -1606893640.937483800000000
3060.000000, 96.202728878356325, -564.399220318548260, 438673496.929266630000000, -1605668232.043316400000000
3120.000000, 100.571193266790170, -586.632205239536350, 443297162.814461650000000, -1604429526.429801500000000
3180.000000, 105.056821027753560, -609.289240251795830, 447917149.801956590000000, -1603177535.084659800000000
3240.000000, 109.660826722380110, -632.369971183042710, 452533419.826480330000000, -1601912269.103925000000000
3300.000000, 114.384423800644000, -655.874040407679440, 457145934.857642950000000, -1600633739.691827100000000
3360.000000, 119.228824591701030, -679.801086850531420, 461754656.900238570000000, -1599341958.160676000000000
3420.000000, 124.195240294243620, -704.150745990608470, 466359547.994547550000000, -1598036935.930743200000000
3480.000000, 129.284880966869910, -728.922649864893400, 470960570.216638210000000, -1596718684.530143000000000
3540.000000, 134.498955518466890, -754.116427072155490, 475557685.678668500000000, -1595387215.594713400000000
3600.000000, 139.838671698607810, -779.731702776790830, 480150856.529186550000000, -1594042540.867896100000000
3660.000000, 145.305236087963660, -805.768098712687450, 484740044.953431490000000, -1592684672.200614000000000
3720.000000, 150.899854088729000, -832.225233187116830, 489325213.173633340000000, -1591313621.551151000000000
3780.000000, 156.623729915062200, -859.102721084650630, 493906323.449312570000000, -1589929400.985028500000000
3840.000000, 162.478066583539970, -886.400173871103560, 498483338.077579380000000, -1588532022.674881700000000
3900.000000, 168.464065903626480, -914.117199597501330, 503056219.393432200000000, -1587121498.900335800000000
3960.000000, 174.582928468156890, -942.253402904073940, 507624929.770056130000000, -1585697842.047880200000000
4020.000000, 180.835853643835630, -970.808385024275140, 512189431.619120540000000, -1584261064.610743000000000
